Format Version,1.21,Take Name,Bend 0 Try 2,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 09.52.00.856 PM,Total Frames in Take,4720,Total Exported Frames,4720,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
25,0.208333,6.2E-05,-3.9E-05,0.000182,-1,60.028206,-0.244756,76.828407,0.006263,-0.003343,0.00118,-0.001237,-0.999993,-37.133808,115.532494,140.146667,0.076662
26,0.216667,5.1E-05,-3.5E-05,0.000186,-1,60.028641,-0.229881,76.838585,0.005926,-0.002929,0.001104,-0.000209,-0.999995,-37.144688,115.523003,140.158142,0.096406
27,0.225,7E-05,-3.5E-05,0.000152,-1,60.019192,-0.207302,76.835899,0.005146,-0.005391,0.000882,-0.001242,-0.999984,-37.134827,115.524239,140.153427,0.094428
28,0.233333,9.3E-05,-4.8E-05,0.000172,-1,60.010643,-0.195289,76.837959,0.001917,-0.005577,0.000873,-0.00123,-0.999983,-37.134945,115.545547,140.154678,0.086989
29,0.241667,0.000107,-5.4E-05,0.000151,-1,60.018578,-0.185579,76.839912,0.003278,-0.003385,0.001167,-0.000912,-0.999993,-37.137745,115.583267,140.15419,0.081399
30,0.25,7.6E-05,-4.1E-05,0.000151,-1,60.031376,-0.214016,76.835457,0.005205,-0.00325,0.001178,-0.000923,-0.999994,-37.130592,115.555931,140.156754,0.079408
31,0.258333,7.1E-05,-4E-05,0.000192,-1,60.032303,-0.234866,76.834328,0.005628,-0.002995,0.00112,-0.000994,-0.999994,-37.132332,115.538986,140.151443,0.082368
32,0.266667,9.4E-05,-5.4E-05,0.000165,-1,60.029156,-0.234058,76.839012,0.002856,-0.005113,0.001196,-0.001037,-0.999986,-37.136665,115.513374,140.165375,0.074664
33,0.275,9.2E-05,-5.3E-05,0.000155,-1,60.02478,-0.234845,76.830917,0.003417,-0.005459,0.00082,-0.001008,-0.999984,-37.124416,115.502457,140.148102,0.09334
34,0.283333,0.000102,-4.6E-05,0.000119,-1,60.04277,-0.235581,76.831146,0.005548,-0.005376,0.000951,-0.001096,-0.999985,-37.111984,115.496834,140.148651,0.09331
