Format Version,1.21,Take Name,Bend 3 Try 2,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 10.08.19.851 PM,Total Frames in Take,4031,Total Exported Frames,4031,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
0,0,0.000136,-0.00087,3.9E-05,-1,60.142456,-0.358373,76.811737,0.011762,0.00712,0.003452,0.000301,0.999969,-36.767036,115.513229,141.00267,0.073941
1,0.008333,0.000129,-0.000884,4E-06,-1,60.145931,-0.351445,76.810242,0.011032,0.005889,0.003657,0.000173,0.999976,-36.766762,115.547241,141.016052,0.116011
2,0.016667,0.000117,-0.00088,-3E-06,-1,60.141426,-0.319176,76.818726,0.009303,0.005882,0.003722,0.000153,0.999976,-36.765728,115.574509,141.017822,0.118364
3,0.025,0.000161,-0.000889,3.7E-05,-1,60.140053,-0.327323,76.817787,0.01135,0.007208,0.003849,0.000214,0.999967,-36.757362,115.553101,141.01857,0.11192
