Format Version,1.21,Take Name,Bend 1 Try 1,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 09.56.44.191 PM,Total Frames in Take,3847,Total Exported Frames,3847,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
0,0,2E-06,-0.000582,0.000167,-1,60.117859,-0.277822,76.816818,0.006323,-0.003442,-0.005478,-0.001818,-0.999977,-37.640236,115.738853,140.89682,0.055657
1,0.008333,1.2E-05,-0.000566,9.4E-05,-1,60.11713,-0.279605,76.819359,0.010466,-0.002737,-0.006043,-0.003143,-0.999973,-37.664516,115.70858,140.898483,0.038783
2,0.016667,3.2E-05,-0.000564,0.000144,-1,60.110146,-0.281256,76.824921,0.006527,-0.00201,-0.005886,-0.001957,-0.999979,-37.666595,115.686058,140.903305,0.038229
3,0.025,6E-05,-0.000575,9.5E-05,-1,60.100071,-0.286913,76.813194,0.007212,-0.002948,-0.005959,-0.003173,-0.999973,-37.681824,115.711365,140.896164,0.042245
