Format Version,1.21,Take Name,Bend 5 Try 1,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 10.15.50.512 PM,Total Frames in Take,4591,Total Exported Frames,4591,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
0,0,0.000153,-0.000887,-1E-06,-1,60.144718,-0.409715,76.817352,0.011201,-0.00432,-0.001028,-0.001354,-0.999989,-36.678379,115.519501,140.945786,0.115735
1,0.008333,0.000174,-0.000878,2.6E-05,-1,60.154819,-0.405791,76.82122,0.017429,-0.004182,-0.001075,-0.001127,-0.99999,-36.672134,115.521088,140.948746,0.112877
2,0.016667,0.000174,-0.000891,-1.4E-05,-1,60.14555,-0.403024,76.819473,0.014971,-0.003998,-0.001001,-0.00135,-0.999991,-36.681313,115.518944,140.943878,0.110272
3,0.025,0.000193,-0.000902,-5E-05,-1,60.125568,-0.38044,76.821129,0.012433,-0.004254,-0.001155,-0.00077,-0.99999,-36.697144,115.549561,140.950317,0.111071
