Format Version,1.21,Take Name,Bend 3 Try 1,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 10.06.50.389 PM,Total Frames in Take,3945,Total Exported Frames,3945,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
0,0,0.000138,-0.000885,3E-06,-1,60.132504,-0.319009,76.814972,0.006889,0.004939,0.003656,0.000276,0.999981,-36.814186,115.54747,140.838501,0.067869
1,0.008333,0.000124,-0.000883,4.2E-05,-1,60.143589,-0.327737,76.817307,0.010575,0.004955,0.003612,0.000266,0.999981,-36.805225,115.540657,140.840179,0.06816
2,0.016667,0.000135,-0.00086,1E-06,-1,60.1511,-0.357917,76.813377,0.010322,0.004644,0.003638,0.000372,0.999983,-36.798164,115.508202,140.836914,0.072348
3,0.025,0.000114,-0.000867,4.4E-05,-1,60.147598,-0.372068,76.81089,0.013625,0.004683,0.003622,0.000354,0.999982,-36.803551,115.499931,140.834091,0.06932
