Format Version,1.21,Take Name,Bend 5 Try 2,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 10.17.30.372 PM,Total Frames in Take,4144,Total Exported Frames,4144,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
0,0,0.000203,-0.00089,-6.2E-05,-1,60.134834,-0.354949,76.828484,0.013481,-0.004223,0.000745,-0.002015,-0.999989,-36.496719,115.525177,140.70723,0.158431
1,0.008333,0.000186,-0.000889,-4.3E-05,-1,60.126884,-0.367801,76.822708,0.011012,-0.004208,0.000765,-0.002192,-0.999988,-36.507,115.512421,140.699387,0.162964
2,0.016667,0.000188,-0.000881,-3.8E-05,-1,60.131485,-0.390256,76.819107,0.013664,-0.003675,0.000488,-0.002265,-0.999991,-36.494503,115.520889,140.712021,0.138332
3,0.025,0.000216,-0.000886,-5.5E-05,-1,60.130199,-0.390237,76.81842,0.012005,-0.003651,0.000651,-0.002755,-0.999989,-36.492706,115.489914,140.714249,0.194507
