Format Version,1.21,Take Name,Bend 4 Try 1,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 10.10.51.269 PM,Total Frames in Take,4271,Total Exported Frames,4271,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
0,0,0.000163,-0.000898,2.2E-05,-1,60.118217,-0.303152,76.829262,0.011881,0.005273,0.004072,-0.000605,0.999978,-36.978703,115.622192,141.014175,0.132452
1,0.008333,0.000154,-0.0009,-1E-05,-1,60.116009,-0.310443,76.825577,0.006825,0.003381,0.003623,1.8E-05,0.999988,-36.982342,115.67347,141.017136,0.128316
2,0.016667,0.000164,-0.000903,-3.9E-05,-1,60.128361,-0.341579,76.82093,0.009413,0.005988,0.004032,1.3E-05,0.999974,-36.962006,115.605522,141.010742,0.119188
3,0.025,0.000153,-0.000903,9E-06,-1,60.147511,-0.401126,76.819061,0.01212,0.005651,0.004053,-0.000251,0.999976,-36.945683,115.56028,141.012543,0.119011
