Format Version,1.21,Take Name,Bend 2 Try 1,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 10.01.26.641 PM,Total Frames in Take,4335,Total Exported Frames,4335,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
0,0,0.000126,-0.000736,3.2E-05,-1,60.089382,-0.315199,76.810829,0.009328,-0.005442,-0.00385,0.001589,-0.999977,-37.276703,115.604958,140.917587,0.069531
1,0.008333,9.2E-05,-0.000728,4E-05,-1,60.097218,-0.30582,76.813118,0.007063,-0.00531,-0.003948,0.001588,-0.999977,-37.276642,115.609238,140.920792,0.069464
2,0.016667,6.9E-05,-0.000731,4.1E-05,-1,60.11483,-0.309679,76.815964,0.007108,-0.00553,-0.003959,0.001985,-0.999975,-37.25843,115.601006,140.924011,0.06945
3,0.025,0.000107,-0.000733,4.6E-05,-1,60.124943,-0.347147,76.806458,0.008841,-0.00532,-0.003984,0.00182,-0.999976,-37.249508,115.573349,140.916458,0.062127
