Format Version,1.21,Take Name,Bend 2 Try 2,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 10.03.01.333 PM,Total Frames in Take,3833,Total Exported Frames,3833,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
0,0,9.2E-05,-0.00073,4.6E-05,-1,60.107281,-0.323337,76.809715,0.008374,0.006075,0.004303,-0.001948,0.99997,-37.388477,115.585274,141.038467,0.043725
1,0.008333,0.000102,-0.000724,-1.4E-05,-1,60.106758,-0.330726,76.810707,0.008727,0.006094,0.004449,-0.001901,0.99997,-37.386906,115.583473,141.037994,0.044864
2,0.016667,8.2E-05,-0.000749,1.9E-05,-1,60.106628,-0.329427,76.8134,0.006894,0.005937,0.004372,-0.002123,0.999971,-37.383644,115.577866,141.041153,0.047789
3,0.025,9.2E-05,-0.00074,1.4E-05,-1,60.106243,-0.351923,76.804314,0.012139,0.006254,0.004343,-0.002071,0.999969,-37.38784,115.572479,141.038483,0.04199
