Format Version,1.21,Take Name,Bend 1 Try 2,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 09.58.39.398 PM,Total Frames in Take,3730,Total Exported Frames,3730,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
0,0,3.3E-05,-0.00057,6.1E-05,-1,60.116127,-0.291497,76.816391,0.007888,0.004788,0.004621,-0.001673,0.999977,-37.535069,115.63694,140.998505,0.032159
1,0.008333,5.9E-05,-0.000566,7.9E-05,-1,60.114479,-0.286457,76.822319,0.008802,0.004217,0.004728,-0.001708,0.999979,-37.541969,115.62352,140.997665,0.035536
2,0.016667,3.8E-05,-0.000569,0.000119,-1,60.099739,-0.291021,76.813934,0.008007,0.006231,0.004156,0.00045,0.999972,-37.556145,115.666306,141.009338,0.03508
3,0.025,2.6E-05,-0.000576,7.7E-05,-1,60.098801,-0.273803,76.815704,0.005633,0.006144,0.004213,0.000479,0.999972,-37.554382,115.680176,141.016861,0.038485
