,time,joint_index,x,y,z,xr,yr,zr,wr,angle,axis,sensor_x,sensor_y,sensor_z,axis_x,axis_y,axis_z
32,0.346273,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0318,0.0,0.0167,0.0,0.0,0.0
33,0.346273,1,76.741219,0.0,-40.368301,0.0,0.239769,0.0,0.97083,27.74581304254856,[0. 1. 0.],-0.0318,0.0,0.0167,0.0,1.0,0.0
34,0.354608,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0309,-0.0,0.0185,0.0,0.0,0.0
35,0.354608,1,74.407623,0.0,-44.523254,0.0,0.266356,0.0,0.963875,30.895075770964016,[0. 1. 0.],-0.0309,-0.0,0.0185,0.0,1.0,0.0
36,0.362942,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0297,0.0,0.0202,0.0,0.0,0.0
37,0.362942,1,71.724876,0.0,-48.727371000000005,0.0,0.293964,0.0,0.955817,34.19083225110109,[0. 1. 0.],-0.0297,0.0,0.0202,0.0,1.0,0.0
38,0.371276,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0285,0.0,0.022,0.0,0.0,0.0
39,0.371276,1,68.675789,0.0,-52.938168000000005,0.0,0.32248499999999997,0.0,0.946575,37.62653208202427,[0. 1. 0.],-0.0285,0.0,0.022,0.0,1.0,0.0
40,0.37961,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0271,-0.0,0.0237,0.0,0.0,0.0
41,0.37961,1,65.24797099999999,0.0,-57.109688,0.0,0.351799,0.0,0.936076,41.194761533962875,[0. 1. 0.],-0.0271,-0.0,0.0237,0.0,1.0,0.0
42,0.387944,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0255,0.0,0.0254,0.0,0.0,0.0
43,0.387944,1,61.434658,0.0,-61.193118999999996,0.0,0.38177300000000003,0.0,0.924256,44.88710462892164,[0. 1. 0.],-0.0255,0.0,0.0254,0.0,1.0,0.0
44,0.396278,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0237,-0.0,0.027,0.0,0.0,0.0
45,0.396278,1,57.235473999999996,0.0,-65.13765699999999,0.0,0.412267,0.0,0.911063,48.69465133318467,[0. 1. 0.],-0.0237,-0.0,0.027,0.0,1.0,0.0
46,0.404611,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0218,-0.0,0.0286,0.0,0.0,0.0
47,0.404611,1,52.657074,0.0,-68.891563,0.0,0.44313100000000005,0.0,0.896457,52.607638428300014,[0. 1. 0.],-0.0218,-0.0,0.0286,0.0,1.0,0.0
48,0.412945,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0198,0.0,0.03,0.0,0.0,0.0
49,0.412945,1,47.713516,0.0,-72.40328199999999,0.0,0.47420500000000004,0.0,0.8804139999999999,56.61522543607487,[0. 1. 0.],-0.0198,0.0,0.03,0.0,1.0,0.0
50,0.421279,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0176,0.0,0.0314,0.0,0.0,0.0
51,0.421279,1,42.426491,0.0,-75.622795,0.0,0.505329,0.0,0.862927,60.70637549342238,[0. 1. 0.],-0.0176,0.0,0.0314,0.0,1.0,0.0
52,0.429613,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0153,-0.0,0.0326,0.0,0.0,0.0
53,0.429613,1,36.825210999999996,0.0,-78.502983,0.0,0.5363359999999999,0.0,0.8440049999999999,64.86909503946798,[0. 1. 0.],-0.0153,-0.0,0.0326,0.0,1.0,0.0
54,0.43794799999999995,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0128,-0.0,0.0336,0.0,0.0,0.0
55,0.43794799999999995,1,30.946046999999997,0.0,-81.000969,0.0,0.56706,0.0,0.823677,69.09089474161176,[0. 1. 0.],-0.0128,-0.0,0.0336,0.0,1.0,0.0
56,0.446283,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0103,0.0,0.0345,0.0,0.0,0.0
57,0.446283,1,24.831875,0.0,-83.079437,0.0,0.597338,0.0,0.80199,73.35893820801101,[0. 1. 0.],-0.0103,0.0,0.0345,0.0,1.0,0.0
58,0.45461599999999996,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0077,0.0,0.0351,0.0,0.0,0.0
59,0.45461599999999996,1,18.531129999999997,0.0,-84.707802,0.0,0.627012,0.0,0.7790100000000001,77.66000252793947,[0. 1. 0.],-0.0077,0.0,0.0351,0.0,1.0,0.0
60,0.46295,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.005,0.0,0.0356,0.0,0.0,0.0
61,0.46295,1,12.096649000000001,0.0,-85.863182,0.0,0.655932,0.0,0.7548199999999999,81.980712878471,[0. 1. 0.],-0.005,0.0,0.0356,0.0,1.0,0.0
62,0.47128400000000004,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.0023,-0.0,0.0359,0.0,0.0,0.0
63,0.47128400000000004,1,5.584294,0.0,-86.531097,0.0,0.683958,0.0,0.729521,86.30745985547225,[0. 1. 0.],-0.0023,-0.0,0.0359,0.0,1.0,0.0
64,0.47961899999999996,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],-0.001,0.0,0.036,0.0,0.0,0.0
