-2.054,-0.098,-0.088
-2.053,-0.095,-0.089
-2.059,-0.101,-0.094
-2.058,-0.105,-0.092
-2.061,-0.102,-0.092
-2.06,-0.094,-0.094
-2.055,-0.097,-0.09
-2.061,-0.093,-0.088
-2.06,-0.099,-0.09
-2.063,-0.099,-0.094
-2.063,-0.1,-0.095
-2.063,-0.1,-0.096
-2.061,-0.102,-0.102
-2.061,-0.106,-0.103
-2.063,-0.098,-0.1
-2.063,-0.101,-0.093
-2.059,-0.102,-0.096
-2.06,-0.101,-0.095
-2.061,-0.101,-0.096
-2.061,-0.1,-0.1
-2.062,-0.099,-0.094
-2.057,-0.1,-0.094
-2.052,-0.102,-0.092
-2.045,-0.099,-0.091
-2.048,-0.1,-0.1
-2.048,-0.103,-0.094
-2.051,-0.102,-0.095
-2.045,-0.098,-0.102
-2.051,-0.103,-0.103
-2.043,-0.103,-0.107
-2.042,-0.106,-0.106
-2.038,-0.109,-0.107
-2.042,-0.103,-0.105
-2.04,-0.104,-0.103
-2.037,-0.104,-0.101
-2.033,-0.108,-0.102
-2.037,-0.102,-0.105
-2.034,-0.105,-0.108
-2.035,-0.106,-0.112
-2.032,-0.107,-0.114
-2.029,-0.108,-0.107
-2.03,-0.104,-0.115
-2.03,-0.101,-0.11
-2.023,-0.105,-0.117
-2.023,-0.104,-0.117
-2.02,-0.107,-0.126
-2.014,-0.105,-0.125
-2.007,-0.105,-0.128
-2.007,-0.106,-0.129
-2.003,-0.102,-0.13
-2.002,-0.108,-0.132
-2.003,-0.104,-0.132
-1.995,-0.102,-0.136
-2.0,-0.103,-0.129
-1.997,-0.105,-0.132
-1.993,-0.102,-0.141
-1.99,-0.101,-0.145
-1.99,-0.109,-0.139
-1.991,-0.106,-0.138
-1.989,-0.104,-0.141
-1.994,-0.098,-0.14
-1.995,-0.105,-0.141
-1.991,-0.103,-0.142
-1.99,-0.102,-0.143
-1.99,-0.102,-0.145
-1.992,-0.105,-0.144
-1.99,-0.104,-0.142
-1.991,-0.099,-0.138
-1.995,-0.104,-0.14
-1.995,-0.097,-0.142
-1.987,-0.1,-0.143
-1.992,-0.103,-0.142
-1.99,-0.101,-0.14
-1.987,-0.102,-0.142
-1.992,-0.103,-0.139
-1.989,-0.102,-0.146
-1.988,-0.101,-0.145
-1.982,-0.101,-0.153
-1.981,-0.097,-0.148
-1.98,-0.101,-0.15
-1.98,-0.099,-0.15
-1.98,-0.099,-0.149
-1.979,-0.097,-0.148
-1.983,-0.102,-0.147
-1.983,-0.1,-0.146
-1.976,-0.101,-0.145
-1.976,-0.1,-0.144
-1.975,-0.099,-0.14
-1.974,-0.102,-0.144
-1.974,-0.099,-0.141
-1.975,-0.093,-0.142
-1.973,-0.099,-0.142
-1.967,-0.097,-0.145
-1.964,-0.098,-0.147
-1.965,-0.101,-0.146
-1.962,-0.096,-0.144
-1.965,-0.091,-0.147
-1.959,-0.096,-0.15
-1.962,-0.096,-0.152
-1.964,-0.099,-0.153
-1.963,-0.1,-0.16
-1.968,-0.102,-0.161
-1.962,-0.099,-0.166
-1.964,-0.095,-0.168
-1.967,-0.1,-0.169
